[2025-08-05 21:53:11] [INFO    ] discord.client: logging in using static token
[2025-08-05 21:53:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Test Schedule Bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1401993499187871774', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '7242', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'd215bbc738c4a65e493db66838ed8425', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1401995506103750767'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['finland', 'stockholm', 'warsaw', 'frankfurt', 'frankfurt-two'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1401993499187871774', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-nlff",{"micros":317795,"calls":["id_created",{"micros":1291,"calls":[]},"session_lookup_time",{"micros":1667,"calls":[]},"session_lookup_finished",{"micros":9,"calls":[]},"discord-sessions-prd-2-165",{"micros":314501,"calls":["start_session",{"micros":291481,"calls":["discord-api-rpc-546cd6b94-27pgk",{"micros":259328,"calls":["get_user",{"micros":56146},"get_guilds",{"micros":45829},"send_scheduled_deletion_message",{"micros":11},"guild_join_requests",{"micros":115},"authorized_ip_coro",{"micros":8},"pending_payments",{"micros":7364},"apex_experiments",{"micros":4575},"user_activities",{"micros":3},"played_application_ids",{"micros":1}]}]},"starting_guild_connect",{"micros":82,"calls":[]},"presence_started",{"micros":10020,"calls":[]},"guilds_started",{"micros":69,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":4,"calls":[]},"presence_connect",{"micros":12824,"calls":[]},"connect_finished",{"micros":12830,"calls":[]},"build_ready",{"micros":15,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-08-05 21:53:13] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-05 21:53:13] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: d215bbc738c4a65e493db66838ed8425).
[2025-08-05 21:53:13] [DEBUG   ] discord.client: Dispatching event connect
[2025-08-05 21:53:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'max_video_channel_users': 25, 'unavailable': False, 'home_header': None, 'preferred_locale': 'en-US', 'guild_scheduled_events': [], 'emojis': [], 'verification_level': 0, 'safety_alerts_channel_id': None, 'premium_features': None, 'profile': None, 'default_message_notifications': 0, 'discovery_splash': None, 'nsfw_level': 0, 'members': [{'user': {'username': 'Test Schedule Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1401993499187871774', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7242', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1402352873177878623'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-05T18:09:39.505629+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'premium_progress_bar_enabled': False, 'moderator_reporting': None, 'id': '1401995506103750767', 'name': 'Сервер Dunkash', 'banner': None, 'system_channel_flags': 0, 'application_id': None, 'threads': [], 'premium_subscription_count': 0, 'hub_type': None, 'vanity_url_code': None, 'soundboard_sounds': [], 'voice_states': [], 'nsfw': False, 'premium_tier': 0, 'afk_timeout': 300, 'description': None, 'owner_id': '1065231799606849587', 'latest_onboarding_question_id': None, 'large': False, 'roles': [{'version': 1754332176546, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1401995506103750767', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1754417379478, 'unicode_emoji': None, 'tags': {'bot_id': '1401993499187871774'}, 'position': 1, 'permissions': '563259191266368', 'name': 'Test Schedule Bot', 'mentionable': False, 'managed': True, 'id': '1402352873177878623', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'lazy': True, 'explicit_content_filter': 0, 'mfa_level': 0, 'public_updates_channel_id': None, 'joined_at': '2025-08-05T18:09:39.505629+00:00', 'channels': [{'version': 1754332176548, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Текстовые каналы', 'id': '1401995506103750768', 'flags': 0}, {'version': 1754332176555, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Голосовые каналы', 'id': '1401995506103750769', 'flags': 0}, {'version': 1754332176562, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1401995506103750768', 'name': 'основной', 'last_message_id': '1402363466203004989', 'id': '1401995506103750770', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1754332176566, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1401995506103750769', 'name': 'Основной', 'last_message_id': None, 'id': '1401995506103750771', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'embedded_activities': [], 'owner_configured_content_level': 0, 'application_command_counts': {}, 'stage_instances': [], 'incidents_data': None, 'max_stage_video_channel_users': 50, 'splash': None, 'activity_instances': [], 'features': [], 'inventory_settings': None, 'member_count': 2, 'max_members': 25000000, 'icon': None, 'rules_channel_id': None, 'afk_channel_id': None, 'stickers': [], 'presences': [], 'version': 1754414337095, 'region': 'deprecated', 'system_channel_id': '1401995506103750770'}}
[2025-08-05 21:53:13] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-05 21:53:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'b676171510a72f694b92c34029a81e78', 'members': [{'user': {'username': 'dunkash', 'public_flags': 0, 'primary_guild': None, 'id': '1065231799606849587', 'global_name': 'Dunkash', 'display_name_styles': None, 'display_name': 'Dunkash', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '76931f412c9ada663019af746f6df16c'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-04T18:29:36.499000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Test Schedule Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1401993499187871774', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7242', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1402352873177878623'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-05T18:09:39.505629+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1401995506103750767', 'chunk_index': 0, 'chunk_count': 1}}
[2025-08-05 21:53:13] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-05 21:53:13] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1401995506103750767.
[2025-08-05 21:53:15] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-08-05 21:53:15] [DEBUG   ] discord.client: Dispatching event ready
[2025-08-05 21:53:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-05T18:53:16.371000+00:00', 'pinned': False, 'nonce': '1402363847892795392', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-04T18:29:36.499000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1402363849457402032', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!dm', 'components': [], 'channel_type': 0, 'channel_id': '1401995506103750770', 'author': {'username': 'dunkash', 'public_flags': 0, 'primary_guild': None, 'id': '1065231799606849587', 'global_name': 'Dunkash', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '76931f412c9ada663019af746f6df16c'}, 'attachments': [], 'guild_id': '1401995506103750767'}}
[2025-08-05 21:53:16] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-05 21:53:16] [DEBUG   ] discord.client: Dispatching event message
[2025-08-05 21:53:16] [DEBUG   ] discord.client: Dispatching event command
[2025-08-05 21:53:16] [DEBUG   ] discord.http: POST https://discord.com/api/v10/users/@me/channels with {"recipient_id":1065231799606849587} has returned 200
[2025-08-05 21:53:16] [DEBUG   ] discord.http: POST /users/@me/channels has found its initial rate limit bucket hash (3f1ecb90c49938368145d0f8794b2707).
[2025-08-05 21:53:16] [DEBUG   ] discord.http: POST https://discord.com/api/v10/users/@me/channels has received {'id': '1402363850606645390', 'type': 1, 'last_message_id': None, 'flags': 0, 'recipients': [{'id': '1065231799606849587', 'username': 'dunkash', 'avatar': '76931f412c9ada663019af746f6df16c', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Dunkash', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}]}
[2025-08-05 21:53:17] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-05T18:53:17.380000+00:00', 'pinned': False, 'nonce': '2899869983247950599', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'id': '1402363853689585716', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'You suck!', 'components': [], 'channel_type': 1, 'channel_id': '1402363850606645390', 'author': {'username': 'Test Schedule Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1401993499187871774', 'global_name': None, 'display_name_styles': None, 'discriminator': '7242', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': []}}
[2025-08-05 21:53:17] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-05 21:53:17] [DEBUG   ] discord.client: Dispatching event message
[2025-08-05 21:53:17] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1402363850606645390/messages with {"content":"You suck!","components":[],"nonce":"2899869983247950599","enforce_nonce":true,"tts":false} has returned 200
[2025-08-05 21:53:17] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-08-05 21:53:17] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1402363850606645390/messages has received {'type': 0, 'content': 'You suck!', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-08-05T18:53:17.380000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1402363853689585716', 'channel_id': '1402363850606645390', 'author': {'id': '1401993499187871774', 'username': 'Test Schedule Bot', 'avatar': None, 'discriminator': '7242', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '2899869983247950599'}
[2025-08-05 21:53:17] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-08-05 21:53:54] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 21:53:54] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 21:54:35] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 21:54:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 21:55:16] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 21:55:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 21:55:58] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 21:55:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 21:56:39] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 21:56:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 21:57:20] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 21:57:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 21:58:01] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 21:58:02] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 21:58:43] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 21:58:43] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 21:59:24] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 21:59:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:00:05] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 22:00:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:00:46] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 22:00:47] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:01:28] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 22:01:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:02:09] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 22:02:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:02:50] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 22:02:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:03:31] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 22:03:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:04:13] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 22:04:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:04:54] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 22:04:54] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:05:35] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 22:05:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:06:16] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 22:06:17] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:06:58] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 22:06:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:07:39] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 22:07:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:08:20] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 22:08:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:09:02] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 22:09:02] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:09:43] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 22:09:43] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:10:24] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 22:10:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:11:05] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-08-05 22:11:06] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:11:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 7, 'd': None}
[2025-08-05 22:11:25] [DEBUG   ] discord.gateway: Received RECONNECT opcode.
[2025-08-05 22:11:25] [DEBUG   ] discord.client: Got a request to RESUME the websocket.
[2025-08-05 22:11:25] [DEBUG   ] discord.client: Dispatching event disconnect
[2025-08-05 22:11:25] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway-us-east1-d.discord.gg
[2025-08-05 22:11:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-p7tn",{"micros":0.0}]']}}
[2025-08-05 22:11:25] [DEBUG   ] discord.gateway: Shard ID None has sent the RESUME payload.
[2025-08-05 22:11:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:11:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'RESUMED', 's': 6, 'op': 0, 'd': {'_trace': ['["gateway-prd-arm-us-east1-d-p7tn",{"micros":544,"calls":["id_created",{"micros":0,"calls":[]},"session_lookup_time",{"micros":306,"calls":[]},"session_lookup_finished",{"micros":14,"calls":[]},"discord-sessions-prd-2-165",{"micros":20}]}]']}}
[2025-08-05 22:11:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-05 22:11:26] [INFO    ] discord.gateway: Shard ID None has successfully RESUMED session d215bbc738c4a65e493db66838ed8425.
[2025-08-05 22:11:26] [DEBUG   ] discord.client: Dispatching event resumed
[2025-08-05 22:12:07] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-08-05 22:12:07] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:12:48] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-08-05 22:12:48] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:13:29] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-08-05 22:13:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:14:11] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-08-05 22:14:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:14:52] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-08-05 22:14:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:15:33] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-08-05 22:15:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:16:14] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-08-05 22:16:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-05 22:16:56] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2025-08-05 22:16:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
